hash,msg,deletions,files,date,Path,Project_name,labels,subject,tag,Number of Smells,Smell
8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,"代码迁移

百度安全实验室研发了AdvBox，它能够为研究者在PaddlePaddle平台上研究模型安全性提供极大的便利，免去重复造轮子的精力与时间消耗，可
以高效地使用最新的生成方法构造对抗样本数据集用于对抗样本的特征统计、攻击全新的AI应用，加固业务AI模型，为模型安全性研究和应用提供重要的支持。
之前AdvBox作为PaddlePaddle开源项目的一个模块，获得了广泛好评。这次因为项目发展的需要，特此作为独立项目开源。",0,20,2018-08-08 18:04:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['New feature'],AdvBox,8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,1,LongBaseClassList
8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,"代码迁移

百度安全实验室研发了AdvBox，它能够为研究者在PaddlePaddle平台上研究模型安全性提供极大的便利，免去重复造轮子的精力与时间消耗，可
以高效地使用最新的生成方法构造对抗样本数据集用于对抗样本的特征统计、攻击全新的AI应用，加固业务AI模型，为模型安全性研究和应用提供重要的支持。
之前AdvBox作为PaddlePaddle开源项目的一个模块，获得了广泛好评。这次因为项目发展的需要，特此作为独立项目开源。",0,20,2018-08-08 18:04:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['New feature'],AdvBox,8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,12,LongMethod
8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,"代码迁移

百度安全实验室研发了AdvBox，它能够为研究者在PaddlePaddle平台上研究模型安全性提供极大的便利，免去重复造轮子的精力与时间消耗，可
以高效地使用最新的生成方法构造对抗样本数据集用于对抗样本的特征统计、攻击全新的AI应用，加固业务AI模型，为模型安全性研究和应用提供重要的支持。
之前AdvBox作为PaddlePaddle开源项目的一个模块，获得了广泛好评。这次因为项目发展的需要，特此作为独立项目开源。",0,20,2018-08-08 18:04:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['New feature'],AdvBox,8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,1,LongMessageChain
8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,"代码迁移

百度安全实验室研发了AdvBox，它能够为研究者在PaddlePaddle平台上研究模型安全性提供极大的便利，免去重复造轮子的精力与时间消耗，可
以高效地使用最新的生成方法构造对抗样本数据集用于对抗样本的特征统计、攻击全新的AI应用，加固业务AI模型，为模型安全性研究和应用提供重要的支持。
之前AdvBox作为PaddlePaddle开源项目的一个模块，获得了广泛好评。这次因为项目发展的需要，特此作为独立项目开源。",0,20,2018-08-08 18:04:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['New feature'],AdvBox,8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,12,LongParameterList
8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,"代码迁移

百度安全实验室研发了AdvBox，它能够为研究者在PaddlePaddle平台上研究模型安全性提供极大的便利，免去重复造轮子的精力与时间消耗，可
以高效地使用最新的生成方法构造对抗样本数据集用于对抗样本的特征统计、攻击全新的AI应用，加固业务AI模型，为模型安全性研究和应用提供重要的支持。
之前AdvBox作为PaddlePaddle开源项目的一个模块，获得了广泛好评。这次因为项目发展的需要，特此作为独立项目开源。",0,20,2018-08-08 18:04:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['New feature'],AdvBox,8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,1,LargeClass
19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,修改为中文版简介,101,1,2018-08-08 18:17:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['Other'],AdvBox,19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,1,LongBaseClassList
19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,修改为中文版简介,101,1,2018-08-08 18:17:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['Other'],AdvBox,19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,12,LongMethod
19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,修改为中文版简介,101,1,2018-08-08 18:17:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['Other'],AdvBox,19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,1,LongMessageChain
19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,修改为中文版简介,101,1,2018-08-08 18:17:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['Other'],AdvBox,19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,12,LongParameterList
19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,修改为中文版简介,101,1,2018-08-08 18:17:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox,['Other'],AdvBox,19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,1,LargeClass
