hash,msg,deletions,files,date,Path,Project_name,labels
d4dd7c699806b18544216723deaf3bc4e6905304,Initial commit,0,2,2020-01-30 00:08:54+00:00,../../projects/well_engineered_projects/covidify,covidify,Other
bba3de2e145f4c6182ecb402fb528a663e9f9f1d,ADD - initial commit,0,3,2020-01-30 00:11:41+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
ac8f85b5b01556402d8855e702f42cb05249499b,ADD - added date fixer,54,3,2020-01-30 00:59:03+00:00,../../projects/well_engineered_projects/covidify,covidify,[Other]
3a311b08a0b649b5834796a52b97850ba03b5734,ADD - added dat exp notebook,0,1,2020-01-30 01:32:00+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
c94705dcba36232df94e6ba18b41fa81b4e8b679,UPDATE - added csv saver for tableau,0,1,2020-01-30 11:41:22+00:00,../../projects/well_engineered_projects/covidify,covidify,[Other]
eff4c8183e6b56f0b1fa27d9068a59c1bbffbb8d,ADD - added csv for 21st to 29th,0,1,2020-01-30 11:41:57+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
61ef7e22be30bf00ac0168bd8fa1825ac200430a,ADD - added workbook for tableau and gif for spread of virus by country,0,3,2020-01-30 11:42:32+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
cabc1db43d16627ef9ffd03158d80e508c1e060c,UPDATE - updated readme,1,1,2020-01-30 12:54:44+00:00,../../projects/well_engineered_projects/covidify,covidify,['Refactoring']
8c9ca59ec198a947f09b642d5020fa8a72929590,UPDATE - updated readme,3,1,2020-01-30 13:14:14+00:00,../../projects/well_engineered_projects/covidify,covidify,['Refactoring']
0b3a2c142e44c42935008518efa991caeed83f45,ADD - added trendline for new confirmed cases,62,1,2020-01-30 17:17:12+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
c77e564cdc25f1e4e0449b3f336e832ad90cb595,"UPDATE - updated the way files are saved... they are now saved to a folder titled with the date of extraction, also new file for tracking trends added",4,4,2020-01-30 19:25:17+00:00,../../projects/well_engineered_projects/covidify,covidify,[Other]
ff713718d403d21ead58b1091273a4e7f222c94b,REMOVE - removed old output files,4025,3,2020-01-30 19:27:22+00:00,../../projects/well_engineered_projects/covidify,covidify,['Other']
981ad6e15aeb7c7a9b20e521db1e1bd03026b58e,ADD - added deprecation warning to notebook,0,1,2020-01-30 19:29:32+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
9ac352f9fa5509d3a75ec10b0105ad3aaadee169,ADD - added trendline for trend of new confirmed cases per day,30,1,2020-01-30 19:30:23+00:00,../../projects/well_engineered_projects/covidify,covidify,['New feature']
efcd634e251df2fbb051c0df004cd17009090ba0,UPDATE - readme,0,1,2020-01-30 19:33:11+00:00,../../projects/well_engineered_projects/covidify,covidify,['Refactoring']
50e2871edcf2e03935f235d8f3c57eead952b44d,CLEAN UP - cleaned up exploration notebook,169,1,2020-01-30 19:44:43+00:00,../../projects/well_engineered_projects/covidify,covidify,['Refactoring']
35bff63244a92c0a717773be5d8ab29a7a646d0c,UPDATE - updated readme,447,4,2020-01-31 12:12:42+00:00,../../projects/well_engineered_projects/covidify,covidify,['Refactoring']
ddc21a591c4d3ccabb245e092309cc1fffa1be48,UPDATE - updated name of image,3,1,2020-01-31 12:13:30+00:00,../../projects/well_engineered_projects/covidify,covidify,['Refactoring']
